Regulator	Target	MI	pvalue
Irx3	Itgb4	2.051410034360162	0.03263817847320993
Mafb	Gucy1a2	1.767333978513843	1.6986412276764895E-10
Sox6	Nrg4	1.363753406821347	9.044750415299063E-4
Nr1i3	Aqp9	2.1148889394693215	2.1949162487544527E-5
Slc26a3	Sds	1.7364228320251383	1.6986412276764895E-10
Irx3	Itgb7	2.042000565101948	1.6986412276764895E-10
Meox2	Fndc1	1.5312311171290947	9.044750415299063E-4
Mkx	Gm20125	1.545749888459707	9.229284003708926E-9
Tfap2b	Rgs7bp	1.823567903727234	2.1949162487544527E-5
Runx2	A2m	1.083013991908029	0.03263817847320993
Lhx6	Tspan8	2.020184675209025	9.229284003708926E-9
Tshz3	Tfec	1.8525132806052078	1.6986412276764895E-10
Nkx2-2	Htr3a	2.990731187368758	0.03263817847320993
Zdhhc14	Atp8a1	1.5115882732325039	9.229284003708926E-9
Tfec	Ptger3	1.4602505927195513	9.044750415299063E-4
Aff3	Fcer2a	1.659524329781393	0.03263817847320993
Spi1	Slc8a1	1.615104263331466	0.03263817847320993
Spi1	Fcer2a	1.616895232602735	2.1949162487544527E-5
Lhx6	Irak2	1.4656459936578545	2.1949162487544527E-5
Fosb	A2m	1.6084731503425618	9.044750415299063E-4
Ets2	Nhsl1	1.5856548250229254	4.737510383989729E-7
Isl1	Gm3164	2.1792538155317094	9.229284003708926E-9
Pax8	Casq1	2.4031912252943073	1.6986412276764895E-10
Hif3a	Themis	1.646709080121525	9.044750415299063E-4
Lmo2	Nlgn1	1.9413847690775388	1.6986412276764895E-10
Zdbf2	Dync1i1	1.6415060398551904	2.1949162487544527E-5
Pax5	Rgs14	1.7202556664190207	1.6986412276764895E-10
Irf4	Mat1a	1.6443880009680525	4.737510383989729E-7
Irx3	Fcgr3	2.17800439250789	1.6986412276764895E-10
Isl1	Prc1	1.8947319977153454	9.229284003708926E-9
Bnc1	Clec3b	1.5050043705492056	2.1949162487544527E-5
Tal1	Milr1	1.9672295577768282	0.03263817847320993
Zc3h12d	Ptpn7	1.735296357246325	9.229284003708926E-9
Zbtb16	Adamts12	0.9384369218637622	9.044750415299063E-4
Gli1	Klhl31	1.9688316187693797	2.1949162487544527E-5
Slc26a3	Lrp2	1.483344203642984	1.6986412276764895E-10
Chd5	Ecel1	2.3674670480206643	1.6986412276764895E-10
Bnc2	Hmgcs1	1.4369597461293153	9.044750415299063E-4
Fosb	Zfp385b	1.351056498134405	0.03263817847320993
Tbx5	Adgrd1	1.96653054007001	1.6986412276764895E-10
Klf5	Abca6	1.5399444785425653	1.6986412276764895E-10
Tfap2b	Gm32828	1.9116190478548019	9.229284003708926E-9
Erg	Milr1	1.986699781192719	9.044750415299063E-4
Nr1i3	Itgb6	2.347634738781542	4.737510383989729E-7
Irx5	Calcrl	2.042858902282798	1.6986412276764895E-10
Gli2	Rab27b	1.6618896830126646	4.737510383989729E-7
Isl1	Gm26522	2.3214439539667575	1.6986412276764895E-10
Lmo2	2610203C22Rik	1.620544513546011	0.03263817847320993
Gli2	Lypd1	1.6153956649863286	1.6986412276764895E-10
Nr1i3	Bhmt2	2.005444520047865	9.229284003708926E-9
Pknox2	Zbtb7c	1.1709948398823475	0.03263817847320993
Lhx6	Itgb2	2.0025290473561905	9.229284003708926E-9
Lhx6	Itgal	1.8993847460196338	4.737510383989729E-7
Casz1	Dpp6	1.8891916179613912	2.1949162487544527E-5
Wt1	Tnfaip8	1.4814759222406617	9.229284003708926E-9
Top2a	Dcstamp	1.6602106626401762	0.03263817847320993
Notch3	Rgs7	1.1989374317145753	0.03263817847320993
Myt1	Scn8a	2.16195794299872	9.229284003708926E-9
Lef1	Hist1h2ap	1.2945830691345164	0.03263817847320993
Lef1	Hist1h2an	1.318520590619529	9.229284003708926E-9
Tshz2	Clec1b	0.8525611032692364	0.03263817847320993
Lef1	Hist1h2ai	1.3307721261385512	2.1949162487544527E-5
Prrx1	Stk17b	1.7335437921684447	9.229284003708926E-9
Lef1	Hist1h2ae	1.4273267319768645	1.6986412276764895E-10
Ikzf1	Traf3ip3	2.101121439472589	4.737510383989729E-7
Lef1	Hist1h2ab	1.3016588780531229	4.737510383989729E-7
Casz1	4933432K03Rik	1.7583719991390816	0.03263817847320993
Tbx20	Nalcn	2.2714475533176435	9.229284003708926E-9
Klf5	Abcd2	1.7081274461699572	1.6986412276764895E-10
Ikzf1	Slamf7	2.1600183164087956	9.229284003708926E-9
Nkx2-2	Gm18870	2.15587985464557	0.03263817847320993
Tfec	Car1	1.5658186028629089	4.737510383989729E-7
Lef1	Npas3	1.2351465442701501	9.044750415299063E-4
Nkx2-2	Hecw1	2.483830766453971	9.044750415299063E-4
Casz1	Slc7a14	2.2118854735676026	1.6986412276764895E-10
Fosb	Slc43a2	1.4583164124724712	0.03263817847320993
Zbtb7c	Zfp385b	1.1395856675196743	2.1949162487544527E-5
Zdbf2	Mms22l	2.2663520129958137	1.6986412276764895E-10
Nkx2-2	1700042O10Rik	2.3592947137054248	9.229284003708926E-9
Cbfa2t3	Hs3st3b1	1.650178636635713	4.737510383989729E-7
Ets2	Arhgap29	1.5447482448671117	2.1949162487544527E-5
Zmynd15	Nlgn1	1.9311290327312012	1.6986412276764895E-10
Irx3	Itga4	1.8889910402862817	0.03263817847320993
Mef2c	Adamts1	1.365599672384913	4.737510383989729E-7
Mafb	Fut9	2.1331039636938365	1.6986412276764895E-10
Bcl6b	9430041J12Rik	1.6617725672899948	9.229284003708926E-9
Aff3	Tec	1.9151431590270327	1.6986412276764895E-10
